District_Id,State_code,Suburb,Address,Lattitude,Longitude
272,NSW,Sydney,"New South Wales, Sydney, Postcode-1193",-33.794883,151.268071
273,NSW,Sydney,"New South Wales, Sydney, Postcode-1194",-33.794883,151.268071
274,NSW,Sydney,"New South Wales, Sydney, Postcode-1195",-33.794883,151.268071
275,NSW,Sydney,"New South Wales, Sydney, Postcode-1196",-33.794883,151.268071
276,NSW,Sydney,"New South Wales, Sydney, Postcode-1197",-33.794883,151.268071
277,NSW,Sydney,"New South Wales, Sydney, Postcode-1198",-33.794883,151.268071
278,NSW,Sydney,"New South Wales, Sydney, Postcode-1199",-33.794883,151.268071
279,NSW,Sydney,"New South Wales, Sydney, Postcode-1200",-33.794883,151.268071
280,NSW,Sydney,"New South Wales, Sydney, Postcode-1201",-33.794883,151.268071
281,NSW,Sydney,"New South Wales, Sydney, Postcode-1202",-33.794883,151.268071
282,NSW,Sydney,"New South Wales, Sydney, Postcode-1203",-33.794883,151.268071
283,NSW,Sydney,"New South Wales, Sydney, Postcode-1204",-33.794883,151.268071
284,NSW,Sydney,"New South Wales, Sydney, Postcode-1205",-33.794883,151.268071
285,NSW,Sydney,"New South Wales, Sydney, Postcode-1206",-33.794883,151.268071
286,NSW,Sydney,"New South Wales, Sydney, Postcode-1207",-33.794883,151.268071
287,NSW,Haymarket,"New South Wales, Sydney, Postcode-1208",-29.816475,151.659454
288,NSW,Australia Square,"New South Wales, Sydney, Postcode-1209",-33.891788,151.176251
289,NSW,Australia Square,"New South Wales, Sydney, Postcode-1210",-33.891788,151.176251
290,NSW,Australia Square,"New South Wales, Sydney, Postcode-1211",-33.891788,151.176251
291,NSW,Australia Square,"New South Wales, Sydney, Postcode-1212",-33.891788,151.176251
292,NSW,Australia Square,"New South Wales, Sydney, Postcode-1213",-33.891788,151.176251
293,NSW,Australia Square,"New South Wales, Sydney, Postcode-1214",-33.891788,151.176251
294,NSW,Australia Square,"New South Wales, Sydney, Postcode-1215",-33.891788,151.176251
295,NSW,Grosvenor Place,"New South Wales, Sydney, Postcode-1216",-33.741311,151.034025
296,NSW,Grosvenor Place,"New South Wales, Sydney, Postcode-1217",-33.741311,151.034025
297,NSW,Grosvenor Place,"New South Wales, Sydney, Postcode-1218",-33.741311,151.034025
298,NSW,Grosvenor Place,"New South Wales, Sydney, Postcode-1219",-33.741311,151.034025
299,NSW,Grosvenor Place,"New South Wales, Grosvenor Place, Postcode-1220",-33.741311,151.034025
300,NSW,Royal Exchange,"New South Wales, Sydney, Postcode-1221",-33.86533,151.207905
301,NSW,Royal Exchange,"New South Wales, Sydney, Postcode-1222",-33.86533,151.207905
302,NSW,Royal Exchange,"New South Wales, Sydney, Postcode-1223",-33.86533,151.207905
303,NSW,Royal Exchange,"New South Wales, Sydney, Postcode-1224",-33.86533,151.207905
304,NSW,Royal Exchange,"New South Wales, Sydney, Postcode-1225",-33.86533,151.207905
305,NSW,Queen Victoria Building,"New South Wales, Sydney, Postcode-1226",-33.871749,151.206708
306,NSW,Queen Victoria Building,"New South Wales, Sydney, Postcode-1227",-33.871749,151.206708
307,NSW,Queen Victoria Building,"New South Wales, Sydney, Postcode-1228",-33.871749,151.206708
308,NSW,Queen Victoria Building,"New South Wales, Sydney, Postcode-1229",-33.871749,151.206708
309,NSW,Queen Victoria Building,"New South Wales, Sydney, Postcode-1230",-33.871749,151.206708
310,NSW,Sydney South,"New South Wales, Sydney, Postcode-1231",-33.815551,151.042528
311,NSW,Sydney South,"New South Wales, Sydney, Postcode-1232",-33.815551,151.042528
312,NSW,Sydney South,"New South Wales, Sydney, Postcode-1233",-33.815551,151.042528
313,NSW,Sydney South,"New South Wales, Sydney, Postcode-1234",-33.815551,151.042528
314,NSW,Sydney South,"New South Wales, Sydney, Postcode-1235",-33.815551,151.042528
315,NSW,Haymarket,"New South Wales, Sydney, Postcode-1236",-29.816475,151.659454
316,NSW,Haymarket,"New South Wales, Sydney, Postcode-1237",-29.816475,151.659454
317,NSW,Haymarket,"New South Wales, Sydney, Postcode-1238",-29.816475,151.659454
318,NSW,Haymarket,"New South Wales, Sydney, Postcode-1239",-29.816475,151.659454
319,NSW,Haymarket,"New South Wales, Sydney, Postcode-1240",-29.816475,151.659454
320,NSW,Sydney,"New South Wales, Sydney, Postcode-1291",-33.794883,151.268071
321,NSW,Sydney,"New South Wales, Sydney, Postcode-1292",-33.794883,151.268071
322,NSW,Sydney,"New South Wales, Sydney, Postcode-1293",-33.794883,151.268071
323,NSW,Sydney,"New South Wales, Sydney, Postcode-1294",-33.794883,151.268071
324,NSW,Sydney,"New South Wales, Sydney, Postcode-1295",-33.794883,151.268071
325,NSW,Sydney,"New South Wales, Sydney, Postcode-1296",-33.794883,151.268071
326,NSW,Sydney,"New South Wales, Sydney, Postcode-1297",-33.794883,151.268071
327,NSW,Sydney,"New South Wales, Sydney, Postcode-1298",-33.794883,151.268071
328,NSW,Sydney,"New South Wales, Sydney, Postcode-1299",-33.794883,151.268071
