School_Id,Suburb,State Code,Address,School_Information,Latitude,Longitude,ICSEA_Value,Student_number,,Postcode
8385,Greystanes ,NSW,"Greystanes High School, Beresford Rd, Postcode-2145","Secondary School (Coed, Year 7 to Year 12)",-33.812495,150.940352,980,968,,2145
8386,Gymea ,NSW,"Gymea Technology High School, Hotham Rd & Princes Hwy, Postcode-2227","Secondary School (Coed, Year 7 to Year 12)",-34.029985,151.08338,1039,604,,2227
8388,Moss Vale ,NSW,"Moss Vale High School, Narellan Rd, Postcode-2577","Secondary School (Coed, Year 7 to Year 12)",-34.551483,150.385294,982,602,,2577
8389,Caves Beach ,NSW,"Swansea High School, Park Ave, Postcode-2281","Secondary School (Coed, Year 7 to Year 12)",-33.104232,151.639823,963,662,,2281
8390,Whitebridge ,NSW,"Whitebridge High School, Lonus Ave, Postcode-2290","Secondary School (Coed, Year 7 to Year 12)",-32.972025,151.712234,997,965,,2290
8391,Wingham ,NSW,"Wingham High School, 9 Rowley St, Postcode-2429","Secondary School (Coed, Year 7 to Year 12)",-31.867397,152.382261,934,566,,2429
8392,West Wyalong ,NSW,"West Wyalong High School, 30 Dumaresq St, Postcode-2671","Secondary School (Coed, Year 7 to Year 12)",-33.915793,147.202014,953,276,,2671
8393,Canley Vale ,NSW,"Canley Vale High School, Prospect Rd, Postcode-2166","Secondary School (Coed, Year 7 to Year 12)",-33.884644,150.951658,935,1415,,2166
8394,Miller,NSW,"Miller High School, 60 Cabramatta Avenue, Postcode-2168","Secondary School (Coed, Year 7 to Year 12)",-33.923589,150.881139,883,527,,2168
8395,Wentworthville ,NSW,"Pendle Hill High School, Knox St, Postcode-2145","Secondary School (Coed, Year 7 to Year 12)",-33.793877,150.962194,943,327,,2145
8396,Mcgraths Hill ,NSW,"Windsor High School, Mulgrave & Windsor Rds, Postcode-2756","Secondary School (Coed, Year 7 to Year 12)",-33.618653,150.833554,930,421,,2756
8397,Ashcroft,NSW,"Ashcroft High School, Maxwells Ave, Postcode-2168","Secondary School (Coed, Year 7 to Year 12)",-33.920414,150.897272,876,508,,2168
8398,Condell Park,NSW,"Condell Park High School, Third Ave, Postcode-2200","Secondary School (Coed, Year 7 to Year 12)",-33.923579,151.001755,927,753,,2200
8399,Doonside ,NSW,"Doonside High School, Power St, Postcode-2767","Secondary School (Coed, Year 7 to Year 12)",-33.754708,150.874186,908,688,,2767
8400,St Ives ,NSW,"St Ives High School, Yarrabung Rd, Postcode-2075","Secondary School (Coed, Year 7 to Year 12)",-33.740147,151.167078,1122,942,,2075
8401,Lurnea,NSW,"Lurnea High School, 2 Hillview Parade, Postcode-2170","Secondary School (Coed, Year 7 to Year 12)",-33.941743,150.896043,901,684,,2170
8403,Blacktown ,NSW,"Mitchell High School, Keyworth Drive, Postcode-2148","Secondary School (Coed, Year 7 to Year 12)",-33.784795,150.915971,960,980,,2148
8404,Caringbah ,NSW,"Endeavour Sports High School, Taren Pt Rd & The Boulevarde, Postcode-2229","Secondary School (Coed, Year 7 to Year 12)",-34.030083,151.117251,978,786,,2229
8405,Erina ,NSW,"Erina High School, 152 The Entrance Rd, Postcode-2250","Secondary School (Coed, Year 7 to Year 12)",-33.440279,151.381503,982,700,,2250
8406,South Grafton ,NSW,"South Grafton High School, Tyson St, Postcode-2460","Secondary School (Coed, Year 7 to Year 12)",-29.714229,152.929362,893,612,,2460
